loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,lr
0.6837481260299683,0.7895221710205078,0.47631436586380005,0.8675799369812012,0.001
0.5898188352584839,0.8192615509033203,0.47314685583114624,0.8675799369812012,0.001
0.5723230838775635,0.8255224823951721,0.4969312250614166,0.8671647906303406,0.001
0.5593684315681458,0.8263511657714844,0.47711944580078125,0.8675799369812012,0.001
0.5753078460693359,0.821010947227478,0.4761410057544708,0.8684101104736328,0.001
0.5619763731956482,0.8279163837432861,0.47786545753479004,0.8675799369812012,0.001
0.5546326041221619,0.8272718787193298,0.4850670397281647,0.8684101104736328,0.001
0.5563675761222839,0.8289291858673096,0.5008459687232971,0.8675799369812012,0.001
0.5557523965835571,0.8285608887672424,0.49825868010520935,0.8675799369812012,0.001
0.5517711639404297,0.8270877599716187,0.4867938458919525,0.8675799369812012,0.001
