loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
2.685434103012085,6.337877344976806,2.3631930351257324,5.625273538622692,0.001
2.2549448013305664,5.4490984889086445,2.1206116676330566,5.157358030700094,0.001
2.197345733642578,5.323230632387067,2.1715195178985596,5.304091954928431,0.001
2.166675090789795,5.25895849246283,2.167752742767334,5.252189598428656,0.001
2.1636698246002197,5.252432014486821,2.1448981761932373,5.191249389857068,0.001
2.155480146408081,5.2336571955603635,2.1247684955596924,5.147084653844405,0.001
2.1333534717559814,5.184189784109042,2.142334222793579,5.2069557935327895,0.001
2.1403679847717285,5.199785998667415,2.086747407913208,5.072561643777808,0.001
2.139874219894409,5.197185066608149,2.249901533126831,5.348799196510334,0.001
2.121432304382324,5.158705620160764,2.093515157699585,5.068821309356181,0.001
