k,weight,accuracy,fscore,precision,recall
1,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
2,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
3,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
4,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
5,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
6,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
7,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
8,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
9,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
10,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
11,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
12,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
13,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
14,1.0,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
Weighted Mean,,0.7975404919016197,0.7426299916151748,0.6962739175851784,0.7975404919016197
